2015-08-24 10:20:38,384 [5] INFO  Umbraco.Core.PluginManager - [T10/D9] Determining hash of code files on disk
2015-08-24 10:20:38,392 [5] INFO  Umbraco.Core.PluginManager - [T10/D9] Hash determined (took 6ms)
2015-08-24 10:20:38,401 [5] INFO  Umbraco.Core.PluginManager - [T10/D9] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2015-08-24 10:20:38,548 [5] INFO  Umbraco.Core.PluginManager - [T10/D9] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 37 (took 146ms)
2015-08-24 10:20:38,630 [5] INFO  Umbraco.Core.PluginManager - [T10/D9] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2015-08-24 10:20:38,634 [5] INFO  Umbraco.Core.PluginManager - [T10/D9] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 3ms)
2015-08-24 10:20:38,635 [5] INFO  Umbraco.Core.PluginManager - [T10/D9] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
2015-08-24 10:20:38,638 [5] INFO  Umbraco.Core.PluginManager - [T10/D9] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 16 (took 2ms)
2015-08-24 10:20:38,655 [5] INFO  Umbraco.Core.PluginManager - [T10/D9] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2015-08-24 10:20:38,658 [5] INFO  Umbraco.Core.PluginManager - [T10/D9] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 7 (took 2ms)
2015-08-24 10:20:38,658 [5] INFO  Umbraco.Core.PluginManager - [T10/D9] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2015-08-24 10:20:38,661 [5] INFO  Umbraco.Core.PluginManager - [T10/D9] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 38 (took 2ms)
2015-08-24 10:20:38,695 [5] INFO  Umbraco.Core.PluginManager - [T10/D9] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2015-08-24 10:20:38,698 [5] INFO  Umbraco.Core.PluginManager - [T10/D9] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 2ms)
2015-08-24 10:20:38,698 [5] INFO  Umbraco.Core.PluginManager - [T10/D9] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2015-08-24 10:20:38,701 [5] INFO  Umbraco.Core.PluginManager - [T10/D9] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 2ms)
2015-08-24 10:20:39,560 [5] INFO  Umbraco.Web.Search.ExamineEvents - [T10/D9] Initializing Examine and binding to business logic events
2015-08-24 10:20:39,674 [5] INFO  Umbraco.Web.Search.ExamineEvents - [T10/D9] Adding examine event handlers for index providers: 3
2015-08-24 10:20:39,685 [5] INFO  Umbraco.Core.CoreBootManager - [T10/D9] Umbraco application startup complete (took 1331ms)
